Title,CPIH Annual Rate
2020 JAN,1.8
2020 FEB,1.7
2020 MAR,1.5
2020 APR,0.9
2020 MAY,0.7
2020 JUN,0.8
2020 JUL,1.1
2020 AUG,0.5
2020 SEP,0.7
2020 OCT,0.9
2020 NOV,0.6
2020 DEC,0.8
2021 JAN,0.9
2021 FEB,0.7
2021 MAR,1
2021 APR,1.6
2021 MAY,2.1
2021 JUN,2.4
2021 JUL,2.1
2021 AUG,3
2021 SEP,2.9
2021 OCT,3.8
2021 NOV,4.6
2021 DEC,4.8
2022 JAN,4.9
2022 FEB,5.5
2022 MAR,6.2
2022 APR,7.8
2022 MAY,7.9
2022 JUN,8.2
2022 JUL,8.8
2022 AUG,8.6
2022 SEP,8.8
2022 OCT,9.6
2022 NOV,9.3
2022 DEC,9.2
2023 JAN,8.8